Sample description: DMPC_25_100
Sample: DMPC_25_100  c= 1 mg/ml  Code: DMPC_25_100_water
Parent(s): analysis/processed/subtracted/DMPC_25_100_water_0363_sub.dat
  3.706970e-02   1.267054e+04   9.396143e+01
  3.982890e-02   1.201240e+04   7.970394e+01
  4.258820e-02   1.024558e+04   6.180302e+01
  4.534750e-02   8.447766e+03   5.374401e+01
  4.810670e-02   6.897473e+03   4.509712e+01
  5.086600e-02   5.673753e+03   3.974139e+01
  5.362530e-02   4.345113e+03   3.273799e+01
  5.638460e-02   3.285058e+03   2.817908e+01
  5.914380e-02   2.561813e+03   2.517618e+01
  6.190310e-02   2.012586e+03   2.147435e+01
  6.466240e-02   1.596972e+03   1.922477e+01
  6.742170e-02   1.274283e+03   1.705964e+01
  7.018090e-02   1.105527e+03   1.526364e+01
  7.294020e-02   9.758513e+02   1.438609e+01
  7.569950e-02   8.423931e+02   1.253521e+01
  7.845880e-02   8.120338e+02   1.197972e+01
  8.121800e-02   8.142169e+02   1.148889e+01
  8.397730e-02   7.787533e+02   1.063618e+01
  8.673660e-02   7.649232e+02   1.031930e+01
  8.949590e-02   7.365095e+02   9.523529e+00
  9.225510e-02   7.088407e+02   9.229957e+00
  9.501440e-02   6.867643e+02   8.647108e+00
  9.777370e-02   6.471074e+02   8.352094e+00
  1.005330e-01   5.942220e+02   7.988237e+00
  1.032920e-01   5.589397e+02   7.337589e+00
  1.060510e-01   5.183515e+02   7.350128e+00
  1.088110e-01   4.709390e+02   6.620589e+00
  1.115700e-01   4.294367e+02   6.474268e+00
  1.143290e-01   3.936806e+02   6.183832e+00
  1.170890e-01   3.637795e+02   5.760432e+00
  1.198480e-01   3.353810e+02   5.678742e+00
  1.226070e-01   3.113140e+02   5.276390e+00
  1.253660e-01   2.954064e+02   5.227154e+00
  1.281260e-01   2.771778e+02   5.014974e+00
  1.308850e-01   2.657646e+02   4.765518e+00
  1.336440e-01   2.555853e+02   4.772377e+00
